participant_id	CMAT_Addition_Raw	CMAT_Addition_StS	CMAT_Subtraction_Raw	CMAT_Subtraction_StS	CMAT_Multiplication_Raw	CMAT_Multiplication_StS	CMAT_Division_Raw	CMAT_Division_StS	CMAT_BasicCalc_Comp_Quotient
sub-002	20	16	16	16	7	10	1	6	113
sub-003	17	10	18	15	14	13	13	14	120
sub-004	17	12	11	10	4	6	6	9	95
sub-005	23	14	23	18	17	13	17	16	135
sub-006	14	11	12	13	13	16	6	12	120
sub-007	25	19	21	19	20	17	17	19	159
sub-008	25	15	20	13	26	19	24	20	145
sub-009	17	15	11	13	3	8	1	8	107
sub-010	21	15	16	14	12	12	12	14	125
sub-011	21	17	19	19	17	17	20	20	155
sub-012	24	14	21	14	12	8	14	11	112
sub-013	23	13	19	11	19	12	22	18	124
sub-015	12	5	17	12	15	11	13	12	100
sub-016	24	14	17	10	22	15	21	18	128
sub-017	10	6	9	9	12	14	8	13	103
sub-019	24	17	21	18	22	18	18	19	153
sub-020	14	7	9	6	8	8	2	4	75
sub-021	12	8	6	6	7	10	6	11	92
sub-023	25	17	21	17	15	12	19	19	142
sub-024	16	11	15	14	12	13	8	11	115
sub-025	24	15	22	17	22	17	21	20	148
sub-029	18	13	12	11	9	11	5	8	105
sub-030	19	11	19	15	16	13	11	11	117
sub-031	23	15	21	17	13	11	17	17	133
sub-034	19	14	16	15	7	9	11	14	120
sub-035	18	11	18	15	15	13	12	13	120
sub-036	19	14	16	14	15	15	6	9	122
sub-038	24	13	19	10	18	11	20	15	115
sub-039	10	4	7	3	7	5	9	7	64
sub-040	19	9	18	11	16	11	13	10	105
sub-041	15	12	9	10	10	13	6	12	112
sub-043	20	10	21	13	16	10	14	10	105
sub-044	21	13	23	19	14	12	18	18	137
sub-045	16	11	12	11	9	11	6	9	103
sub-047	13	7	19	17	10	11	10	13	113
sub-048	19	13	18	16	11	11	18	20	133
sub-049	20	13	19	17	20	17	16	17	140
sub-052	20	10	12	7	8	6	17	15	97
sub-054	20	9	16	8	19	12	11	8	95
sub-055	17	11	13	11	13	13	9	12	112
sub-056	17	11	13	11	16	15	8	11	113
sub-057	13	9	14	14	5	8	5	10	102
sub-059	20	10	14	7	17	11	14	11	98
sub-060	16	9	15	12	16	14	13	14	115
sub-061	22	14	22	18	15	12	18	18	137
sub-062	21	11	20	13	15	10	16	13	112
sub-063	19	12	13	10	11	10	10	11	105
sub-064	16	12	15	15	7	10	6	11	113
sub-066	11	7	7	7	4	7	3	8	82
sub-067	13	5	9	4	3	3	5	5	62
sub-070	17	7	19	12	16	11	7	6	93
sub-071	8	8	8	10	3	8	0	7	88
sub-073	10	5	10	9	6	8	3	6	80
sub-075	16	6	15	7	14	8	10	7	80
sub-078	10	4	8	5	7	6	3	5	67
sub-080	13	9	8	8	2	5	1	6	80
